date,Trend11teamsports,TrendAdidasAce,TrendSchienbeinschuetzer,TrendFussballschuh,TrendNikeHypervenom
2017-10-01,3,8,12,77,13
2017-10-02,2,7,11,66,12
2017-10-03,4,6,10,66,9
2017-10-04,3,5,11,66,8
2017-10-05,2,6,10,66,8
2017-10-06,2,6,9,65,10
2017-10-07,3,8,11,84,11
2017-10-08,3,8,9,79,12
2017-10-09,2,7,9,62,9
2017-10-10,3,6,10,62,7
2017-10-11,3,7,9,63,8
2017-10-12,2,6,8,62,10
2017-10-13,2,6,9,61,10
2017-10-14,2,8,12,77,9
2017-10-15,2,7,11,75,12
2017-10-16,2,7,10,63,10
2017-10-17,3,6,10,56,8
2017-10-18,3,6,9,59,9
2017-10-19,3,6,9,62,9
2017-10-20,3,6,9,57,8
2017-10-21,3,7,10,69,10
2017-10-22,3,8,9,72,10
2017-10-23,2,8,9,58,9
2017-10-24,4,5,8,60,9
2017-10-25,3,5,8,54,8
2017-10-26,3,5,8,57,7
2017-10-27,2,6,9,59,7
2017-10-28,3,7,10,73,9
2017-10-29,3,5,10,67,10
2017-10-30,2,4,10,60,9
2017-10-31,3,5,8,58,8
2017-11-01,4,6,9,66,9
2017-11-02,3,6,9,63,8
2017-11-03,3,6,8,59,9
2017-11-04,4,6,10,76,12
2017-11-05,4,7,11,78,13
2017-11-06,3,6,10,61,9
2017-11-07,2,5,9,60,9
2017-11-08,2,6,9,58,9
2017-11-09,2,6,9,62,9
2017-11-10,2,5,9,62,8
2017-11-11,3,7,10,83,11
2017-11-12,3,7,11,79,10
2017-11-13,3,6,10,59,7
2017-11-14,3,5,9,59,8
2017-11-15,3,6,10,57,7
2017-11-16,3,5,8,57,7
2017-11-17,2,5,8,60,7
2017-11-18,4,8,11,79,11
2017-11-19,3,6,9,81,12
2017-11-20,3,6,9,63,9
2017-11-21,3,6,9,62,8
2017-11-22,3,7,9,76,9
2017-11-23,5,7,8,77,9
2017-11-24,11,10,10,100,11
2017-11-25,4,10,11,96,10
2017-11-26,5,7,10,85,11
2017-11-27,3,8,10,66,9
2017-11-28,2,6,10,65,7
2017-11-29,4,7,10,62,7
2017-11-30,2,6,9,58,6
2017-12-01,3,6,8,60,8
2017-12-02,3,7,10,74,11
2017-12-03,4,7,10,78,11
2017-12-04,3,5,9,62,8
2017-12-05,4,5,9,57,6
2017-12-06,3,6,9,60,7
2017-12-07,3,5,8,57,6
2017-12-08,3,5,8,62,7
2017-12-09,3,6,10,70,9
2017-12-10,4,6,9,73,11
2017-12-11,3,6,10,58,8
2017-12-12,2,5,9,58,7
2017-12-13,3,4,8,53,7
2017-12-14,3,5,8,56,7
2017-12-15,2,5,7,56,7
2017-12-16,2,5,8,70,8
2017-12-17,3,5,8,65,9
2017-12-18,3,4,8,55,7
2017-12-19,3,5,8,60,8
2017-12-20,2,3,8,54,6
2017-12-21,2,4,7,56,6
2017-12-22,2,4,6,56,6
2017-12-23,2,4,6,62,7
2017-12-24,3,5,5,54,8
2017-12-25,2,6,5,60,10
2017-12-26,2,5,7,51,8
2017-12-27,2,4,6,49,7
2017-12-28,3,4,6,48,7
2017-12-29,2,4,6,46,6
2017-12-30,2,6,6,45,8
2017-12-31,1,4,5,41,6
2018-01-01,2,4,4,45,5
2018-01-02,3,4,7,45,6
2018-01-03,2,4,6,46,6
2018-01-04,2,4,7,48,8
2018-01-05,2,4,6,48,6
2018-01-06,2,4,7,57,7
2018-01-07,2,5,8,57,8
2018-01-08,2,3,7,49,8
2018-01-09,2,3,6,46,6
2018-01-10,2,4,7,51,5
2018-01-11,2,4,8,49,6
2018-01-12,2,4,8,54,6
2018-01-13,2,5,8,62,7
2018-01-14,3,5,8,61,7
2018-01-15,2,4,7,53,7
2018-01-16,3,4,7,46,7
2018-01-17,2,4,7,46,5
2018-01-18,2,4,7,48,6
2018-01-19,3,4,7,46,5
2018-01-20,2,4,9,56,7
2018-01-21,3,4,8,56,7
2018-01-22,2,4,7,51,6
2018-01-23,3,4,6,48,7
2018-01-24,3,4,8,47,5
2018-01-25,2,4,7,50,7
2018-01-26,3,4,6,49,5
2018-01-27,3,5,9,63,7
2018-01-28,3,5,8,62,8
2018-01-29,3,4,7,54,7
2018-01-30,3,4,8,54,9
2018-01-31,3,2,7,52,6
2018-02-01,3,3,8,51,8
2018-02-02,3,4,8,54,7
2018-02-03,3,4,9,65,9
2018-02-04,4,5,9,63,8
2018-02-05,3,4,8,51,8
2018-02-06,3,3,8,49,8
2018-02-07,3,3,7,54,7
2018-02-08,3,4,8,59,9
2018-02-09,2,4,8,58,6
2018-02-10,3,4,9,67,9
2018-02-11,4,6,9,57,8
2018-02-12,3,3,6,49,7
2018-02-13,2,3,8,46,7
2018-02-14,4,4,8,53,6
2018-02-15,3,3,8,56,7
2018-02-16,3,4,7,51,6
2018-02-17,3,4,8,65,7
2018-02-18,3,4,10,67,8
2018-02-19,3,5,8,59,8
2018-02-20,3,4,8,58,7
2018-02-21,3,4,9,57,7
2018-02-22,3,4,7,55,5
2018-02-23,2,4,8,54,5
2018-02-24,2,4,8,68,8
2018-02-25,4,4,9,69,8
2018-02-26,4,3,10,54,8
2018-02-27,2,3,9,56,7
2018-02-28,3,3,9,54,5
