date,Nike,adidas,PUMA
2017-10-01,55,41,9
2017-10-02,45,33,7
2017-10-03,44,33,7
2017-10-04,45,32,7
2017-10-05,44,33,7
2017-10-06,46,34,7
2017-10-07,51,41,8
2017-10-08,54,41,9
2017-10-09,47,34,8
2017-10-10,44,30,7
2017-10-11,42,31,7
2017-10-12,44,31,7
2017-10-13,46,31,8
2017-10-14,52,37,8
2017-10-15,55,38,8
2017-10-16,45,30,7
2017-10-17,44,32,7
2017-10-18,45,30,7
2017-10-19,44,31,7
2017-10-20,44,31,7
2017-10-21,51,36,8
2017-10-22,54,37,8
2017-10-23,46,31,7
2017-10-24,45,30,7
2017-10-25,44,30,7
2017-10-26,44,31,7
2017-10-27,45,30,7
2017-10-28,49,34,7
2017-10-29,52,35,8
2017-10-30,46,31,7
2017-10-31,42,29,6
2017-11-01,45,30,7
2017-11-02,45,31,7
2017-11-03,44,31,7
2017-11-04,55,37,8
2017-11-05,55,37,8
2017-11-06,49,33,7
2017-11-07,46,33,7
2017-11-08,47,32,7
2017-11-09,46,33,7
2017-11-10,50,34,8
2017-11-11,58,44,8
2017-11-12,57,41,8
2017-11-13,47,33,7
2017-11-14,46,32,7
2017-11-15,46,33,7
2017-11-16,45,33,7
2017-11-17,47,35,7
2017-11-18,58,47,8
2017-11-19,61,42,9
2017-11-20,62,38,8
2017-11-21,52,37,8
2017-11-22,56,43,8
2017-11-23,69,51,9
2017-11-24,100,71,12
2017-11-25,80,74,11
2017-11-26,70,53,10
2017-11-27,69,47,8
2017-11-28,56,39,8
2017-11-29,50,34,7
2017-11-30,49,40,7
2017-12-01,50,36,8
2017-12-02,58,40,8
2017-12-03,64,43,9
2017-12-04,53,38,7
2017-12-05,50,34,7
2017-12-06,51,36,7
2017-12-07,51,35,7
2017-12-08,53,37,7
2017-12-09,63,45,8
2017-12-10,64,46,9
2017-12-11,55,39,7
2017-12-12,52,37,7
2017-12-13,52,38,7
2017-12-14,52,37,7
2017-12-15,53,37,8
2017-12-16,61,58,8
2017-12-17,65,45,8
2017-12-18,55,39,8
2017-12-19,54,35,8
2017-12-20,53,37,8
2017-12-21,52,37,8
2017-12-22,52,38,8
2017-12-23,56,40,9
2017-12-24,54,38,9
2017-12-25,64,46,9
2017-12-26,64,46,9
2017-12-27,57,42,9
2017-12-28,53,40,8
2017-12-29,52,38,8
2017-12-30,50,37,8
2017-12-31,47,31,7
2018-01-01,46,33,7
2018-01-02,47,35,7
2018-01-03,46,34,8
2018-01-04,46,33,7
2018-01-05,46,35,7
2018-01-06,51,38,8
2018-01-07,53,40,8
2018-01-08,46,33,7
2018-01-09,43,32,7
2018-01-10,50,36,7
2018-01-11,46,35,7
2018-01-12,45,33,7
2018-01-13,53,39,9
2018-01-14,55,39,9
2018-01-15,47,34,7
2018-01-16,43,33,7
2018-01-17,42,33,7
2018-01-18,43,32,7
2018-01-19,44,32,8
2018-01-20,51,38,9
2018-01-21,54,38,9
2018-01-22,45,32,7
2018-01-23,45,31,7
2018-01-24,43,31,7
2018-01-25,47,32,8
2018-01-26,46,32,8
2018-01-27,53,38,10
2018-01-28,57,40,9
2018-01-29,47,35,8
2018-01-30,46,32,8
2018-01-31,45,33,8
2018-02-01,46,31,7
2018-02-02,46,33,8
2018-02-03,51,38,9
2018-02-04,54,38,9
2018-02-05,44,31,7
2018-02-06,44,31,7
2018-02-07,45,30,7
2018-02-08,46,31,7
2018-02-09,48,32,8
2018-02-10,53,36,9
2018-02-11,53,38,8
2018-02-12,45,32,8
2018-02-13,46,31,7
2018-02-14,42,29,7
2018-02-15,44,29,7
2018-02-16,46,32,7
2018-02-17,55,38,9
2018-02-18,53,38,9
2018-02-19,49,33,7
2018-02-20,46,31,7
2018-02-21,46,32,7
2018-02-22,47,32,8
2018-02-23,50,36,8
2018-02-24,57,38,9
2018-02-25,56,37,9
2018-02-26,47,31,7
2018-02-27,47,32,7
2018-02-28,45,30,7
